id;nome;modelo;acompanha;palavraChave;peso;altura;largura;comprimento;codigo;marca;unidadeMedida;ativo;ncm;cest;origemFiscal;dataLancamento;dataAtualizacao;categorias;derivacoes;dataExtracao
627;Aroma Perfume Roupa PinkBoo;Aromas para Roupas;1 Frasco de 30ml.;Perfume, Aroma, Cheiro, Cheirinho;0.100;10.00;3.50;3.50;APB;2;UN;False;62063000;;0;2023-12-17T00:00:00-03:00;2025-03-14T16:44:58-03:00;[7, 46];[{'id': 628, 'codigo': 'APBU', 'nome': 'Aroma Perfume Roupa PinkBoo', 'ativo': False}];2025-09-11 10:22:49
629;Aroma Perfume Roupa PinkMila;Aromas para Roupas;1 Frasco de 30ml.;Perfume, Aroma, Cheiro, Cheirinho;0.100;10.00;3.50;3.50;APM;2;UN;False;62063000;;0;2023-12-17T00:00:00-03:00;2025-03-14T16:45:28-03:00;[7, 46];[{'id': 630, 'codigo': 'APMU', 'nome': 'Aroma Perfume Roupa PinkMila', 'ativo': False}];2025-09-11 10:22:49
3069;Aromas Perfume Roupa;Aromas para Roupas;1 Frasco de 30ml.;Perfume, Aroma, Cheiro, Cheirinho;0.100;10.00;3.50;3.50;APR;2;UN;True;62063000;;0;2025-01-03T00:00:00-03:00;2025-06-17T11:26:59-03:00;[7, 46];[{'id': 3756, 'codigo': 'APRAA', 'nome': 'Aromas Perfume Roupa - Ambar Avelã', 'ativo': True}, {'id': 3070, 'codigo': 'APRPZEE', 'nome': 'Aromas Perfume Roupa - PinkZee', 'ativo': True}, {'id': 3071, 'codigo': 'APRPBABY', 'nome': 'Aromas Perfume Roupa - PinkBaby', 'ativo': True}, {'id': 3072, 'codigo': 'APRPVANDA', 'nome': 'Aromas Perfume Roupa - PinkVanda', 'ativo': True}, {'id': 3073, 'codigo': 'APRPBOO', 'nome': 'Aromas Perfume Roupa - PinkBoo', 'ativo': True}, {'id': 3074, 'codigo': 'APRMILA', 'nome': 'Aromas Perfume Roupa - PinkMila', 'ativo': True}];2025-09-11 10:22:49
1875;Aroma Perfume Roupa PinkBaby;Aromas para Roupas;1 Frasco de 30ml.;Perfume, Aroma, Cheiro, Cheirinho;0.100;10.00;3.50;3.50;APRPB;2;UN;False;62063000;;0;2023-12-17T00:00:00-03:00;2025-03-14T16:45:37-03:00;[7, 46];[{'id': 1876, 'codigo': 'APRPBU', 'nome': 'Aroma Perfume Roupa PinkBaby', 'ativo': False}];2025-09-11 10:22:49
1873;Aroma Perfume Roupa PinkVanda;Aromas para Roupas;1 Frasco de 30ml.;Perfume, Aroma, Cheiro, Cheirinho;0.100;10.00;3.50;3.50;APRPV;2;UN;False;62063000;;0;2023-12-17T00:00:00-03:00;2025-03-14T16:45:49-03:00;[7, 46];[{'id': 1874, 'codigo': 'APRPVU', 'nome': 'Aroma Perfume Roupa PinkVanda', 'ativo': False}];2025-09-11 10:22:49
624;Aromas Perfume Roupa;Aromas para Roupas;1 Frasco de 30ml.;Perfume, Aroma, Cheiro, Cheirinho;0.100;10.00;3.50;3.50;APZ;2;UN;False;62063000;;0;2025-01-03T00:00:00-03:00;2025-06-12T11:53:26-03:00;[7, 46];[{'id': 3068, 'codigo': 'APZPV', 'nome': 'Aromas Perfume Roupa - PinkVanda', 'ativo': False}, {'id': 3067, 'codigo': 'APZPM', 'nome': 'Aromas Perfume Roupa - PinkMila', 'ativo': False}, {'id': 3066, 'codigo': 'APZPBO', 'nome': 'Aromas Perfume Roupa - PinkBoo', 'ativo': False}, {'id': 3065, 'codigo': 'APZPB', 'nome': 'Aromas Perfume Roupa - PinkBaby', 'ativo': False}, {'id': 626, 'codigo': 'APZU', 'nome': 'Aromas Perfume Roupa - PinkZee', 'ativo': False}];2025-09-11 10:22:49
4038;BLUSA  Avulsa 1ª Americana Algodão Coral;Blusa Americana Avulsa;01 Blusa Avulsa Americana de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1AAC;2;UN;True;62063000;;0;2025-08-27T00:00:00-03:00;2025-08-27T16:05:20-03:00;[36];[{'id': 4039, 'codigo': 'BA1AACG', 'nome': 'BLUSA  Avulsa 1ª Americana Algodão Coral - G', 'ativo': True}];2025-09-11 10:22:49
1826;BLUSA  Avulsa 1ª Americana Coral ;Blusa Americana Avulsa;01 Blusa Avulsa Americana de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1AC;2;UN;True;62063000;;0;2024-08-01T00:00:00-03:00;;[36];[{'id': 1827, 'codigo': 'BA1ACG', 'nome': 'BLUSA  Avulsa 1ª Americana Coral  - G', 'ativo': True}, {'id': 1828, 'codigo': 'BA1ACGG', 'nome': 'BLUSA  Avulsa 1ª Americana Coral  - GG', 'ativo': True}];2025-09-11 10:22:49
3946;BLUSA Avulsa 1ª Algodão Corações Marinho;Blusa Americana Avulsa;01 Blusa Avulsa Americana de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1ACM;2;UN;True;62063000;;0;2025-08-01T00:00:00-03:00;2025-08-01T10:39:57-03:00;[36];[{'id': 3947, 'codigo': 'BA1ACMG', 'nome': 'BLUSA Avulsa 1ª Algodão Corações Marinho - G', 'ativo': True}];2025-09-11 10:22:49
3999;BLUSA Avulsa 1ª Americana Folhas;Blusa Americana Avulsa;01 Blusa Avulsa Americana de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1AF;2;UN;True;62063000;;0;2025-08-20T00:00:00-03:00;2025-08-20T11:28:57-03:00;[36];[{'id': 4000, 'codigo': 'BA1AFM', 'nome': 'BLUSA Avulsa 1ª Americana Folhas - M', 'ativo': True}];2025-09-11 10:22:49
1957;BLUSA Avulsa 1ª Americana Marinho;Blusa Americana Avulsa;01 Blusa Avulsa Americana de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1AM;2;UN;True;62063000;;0;2024-08-07T00:00:00-03:00;2025-08-26T16:44:23-03:00;[36];[{'id': 1958, 'codigo': 'BA1AMG', 'nome': 'BLUSA Avulsa 1ª Americana Marinho - G', 'ativo': True}, {'id': 4027, 'codigo': 'BA1AMM', 'nome': 'BLUSA Avulsa 1ª Americana Marinho - M', 'ativo': True}];2025-09-11 10:22:49
2862;BLUSA Avulsa 1ª Americana Rosa Pink;Blusa Americana Avulsa;01 Blusa Avulsa Americana de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1ARP;2;UN;True;62063000;;0;2025-01-30T00:00:00-03:00;2025-01-30T17:47:14-03:00;[36];[{'id': 2863, 'codigo': 'BA1ARPM', 'nome': 'BLUSA Avulsa 1ª Americana Rosa Pink - M', 'ativo': True}];2025-09-11 10:22:49
3330;BLUSA Avulsa 1ª  Alça Xadrez Marinho;Blusa Avulsa;01 Blusa Alça de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1AXM;2;UN;True;62063000;;0;2025-04-24T00:00:00-03:00;2025-08-01T10:33:32-03:00;[36];[{'id': 3331, 'codigo': 'BA1AXMG1', 'nome': 'BLUSA Avulsa 1ª  Alça Xadrez Marinho - G1', 'ativo': True}];2025-09-11 10:22:49
1829;BLUSA Avulsa 1ª Black Dream;Blusa Avulsa Black Dream;01 Blusa Avulsa de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1BD;2;UN;True;62063000;;0;2024-08-01T00:00:00-03:00;2025-06-27T17:50:20-03:00;[36];[{'id': 1830, 'codigo': 'BA1BDM', 'nome': 'BLUSA Avulsa 1ª Black Dream - M', 'ativo': True}, {'id': 1831, 'codigo': 'BA1BDG', 'nome': 'BLUSA Avulsa 1ª Black Dream - G', 'ativo': False}];2025-09-11 10:22:49
1818;BLUSA Avulsa 1ª Be Happy Manga Longa;Blusa Avulsa 1ª Qualidade;01 Blusa de 1ª Qualidade Manga longa;Outlet;0.150;3.00;20.00;20.00;BA1BH;2;UN;True;62063000;;0;2024-07-25T00:00:00-03:00;2025-08-01T10:18:23-03:00;[36];[{'id': 1950, 'codigo': 'BA1BHM', 'nome': 'BLUSA Avulsa 1ª Be Happy Manga Longa - M', 'ativo': True}, {'id': 1951, 'codigo': 'BA1BHGG', 'nome': 'BLUSA Avulsa 1ª Be Happy Manga Longa - GG', 'ativo': True}, {'id': 1819, 'codigo': 'BA1BHP', 'nome': 'BLUSA Avulsa 1ª Be Happy Manga Longa - P', 'ativo': True}, {'id': 1820, 'codigo': 'BA1BHG', 'nome': 'BLUSA Avulsa 1ª Be Happy Manga Longa - G', 'ativo': True}];2025-09-11 10:22:49
2735;BLUSA Avulsa 1ª  Cats;Blusa Manga Curta Avulsa;01 Blusa Manga Curta de Primeira Qualidade.;Outlet;0.150;3.00;20.00;20.00;BA1C;2;UN;True;62063000;;0;2025-01-18T00:00:00-03:00;2025-01-18T10:14:25-03:00;[36];[{'id': 2736, 'codigo': 'BA1CP', 'nome': 'BLUSA Avulsa 1ª  Cats - P', 'ativo': True}];2025-09-11 10:22:49
